time	V(c,n)
1.57745e-02	-1.91525e+02
1.58123e-02	-2.09907e+02
1.58130e-02	-2.09760e+02
1.58460e-02	-1.92119e+02
1.59317e-02	-1.45340e+02
1.60109e-02	-1.81519e+02
1.60243e-02	-1.87479e+02
1.60250e-02	-1.87311e+02
1.60397e-02	-1.79136e+02
1.60809e-02	-1.97354e+02
1.61363e-02	-2.21058e+02
1.61370e-02	-2.20851e+02
1.62051e-02	-1.80031e+02
1.62417e-02	-1.57836e+02
1.63238e-02	-1.90680e+02
1.63423e-02	-1.97859e+02
1.63430e-02	-1.97651e+02
1.63557e-02	-1.89886e+02
1.64010e-02	-2.07364e+02
1.64613e-02	-2.29790e+02
1.64620e-02	-2.29534e+02
1.65527e-02	-1.70120e+02
1.66447e-02	-2.02114e+02
1.66603e-02	-2.07346e+02
1.66610e-02	-2.07102e+02
1.66727e-02	-1.99358e+02
1.67341e-02	-2.19876e+02
1.67853e-02	-2.36201e+02
1.67860e-02	-2.35924e+02
1.68647e-02	-1.80631e+02
1.69548e-02	-2.07833e+02
1.69773e-02	-2.14417e+02
1.69780e-02	-2.14141e+02
1.69907e-02	-2.05152e+02
1.70624e-02	-2.25897e+02
1.71083e-02	-2.38510e+02
1.71090e-02	-2.38214e+02
1.71757e-02	-1.88715e+02
1.72941e-02	-2.19882e+02
1.72950e-02	-2.19526e+02
1.73097e-02	-2.08546e+02
1.73889e-02	-2.28568e+02
1.74313e-02	-2.38762e+02
1.74320e-02	-2.38446e+02
1.74887e-02	-1.94594e+02
1.76093e-02	-2.22703e+02
1.76100e-02	-2.22303e+02
1.76287e-02	-2.07789e+02
1.77247e-02	-2.29412e+02
1.77543e-02	-2.35727e+02
1.77550e-02	-2.35395e+02
1.78010e-02	-1.98859e+02
1.78261e-02	-2.04440e+02
1.79243e-02	-2.25027e+02
1.79250e-02	-2.24689e+02
1.79487e-02	-2.05775e+02
1.80686e-02	-2.30459e+02
1.80763e-02	-2.31899e+02
1.80770e-02	-2.31560e+02
1.81137e-02	-2.01873e+02
1.82393e-02	-2.26768e+02
1.82400e-02	-2.26372e+02
1.82697e-02	-2.02252e+02
1.83973e-02	-2.27054e+02
1.83980e-02	-2.26661e+02
1.84277e-02	-2.02434e+02
1.85523e-02	-2.26245e+02
1.85530e-02	-2.25862e+02
1.85907e-02	-1.94983e+02
1.87183e-02	-2.19393e+02
1.87190e-02	-2.19044e+02
1.87417e-02	-2.00558e+02
1.88663e-02	-2.24481e+02
1.88670e-02	-2.24112e+02
1.89127e-02	-1.86736e+02
1.90383e-02	-2.11368e+02
1.90390e-02	-2.11024e+02
1.90567e-02	-1.96763e+02
1.91783e-02	-2.21055e+02
1.91790e-02	-2.20703e+02
1.92347e-02	-1.75612e+02
1.93573e-02	-2.01122e+02
1.93580e-02	-2.00857e+02
1.93727e-02	-1.89231e+02
1.94903e-02	-2.14573e+02
1.94910e-02	-2.14241e+02
1.95587e-02	-1.60598e+02
1.96760e-02	-1.87502e+02
1.96763e-02	-1.87719e+02
1.96770e-02	-1.87364e+02
1.96887e-02	-1.78441e+02
1.98023e-02	-2.05795e+02
1.98030e-02	-2.05481e+02
1.98817e-02	-1.45234e+02
1.99930e-02	-1.74182e+02
1.99933e-02	-1.74403e+02
1.99940e-02	-1.74073e+02
2.00067e-02	-1.64785e+02
2.01133e-02	-1.94017e+02
2.01140e-02	-1.93727e+02
2.02057e-02	-1.26754e+02
2.02060e-02	-1.26999e+02
2.02878e-02	-1.51295e+02
2.03113e-02	-1.58605e+02
2.03120e-02	-1.58339e+02
2.03237e-02	-1.50270e+02
2.04243e-02	-1.82074e+02
2.04250e-02	-1.81814e+02
2.05290e-02	-1.10167e+02
2.05439e-02	-1.12737e+02
2.05577e-02	-1.19564e+02
2.06273e-02	-1.43784e+02
2.06280e-02	-1.43616e+02
2.06427e-02	-1.34112e+02
2.07353e-02	-1.67773e+02
2.07360e-02	-1.67546e+02
2.08424e-02	-9.93695e+01
2.08547e-02	-9.19494e+01
2.09430e-02	-1.27058e+02
2.09433e-02	-1.27305e+02
2.09440e-02	-1.27080e+02
2.09617e-02	-1.16566e+02
2.10453e-02	-1.51382e+02
2.10460e-02	-1.51193e+02
2.11404e-02	-9.56602e+01
2.11797e-02	-7.34144e+01
2.12583e-02	-1.09249e+02
2.12590e-02	-1.09153e+02
2.12817e-02	-9.69211e+01
2.13563e-02	-1.32379e+02
2.13570e-02	-1.32232e+02
2.14560e-02	-7.99336e+01
2.15047e-02	-5.53464e+01
2.15723e-02	-9.04302e+01
2.15730e-02	-9.03565e+01
2.16027e-02	-7.61906e+01
2.16669e-02	-1.10729e+02
2.17600e-02	-6.74207e+01
2.17603e-02	-6.75064e+01
2.18193e-02	-4.10750e+01
2.18297e-02	-3.67767e+01
2.18863e-02	-7.00390e+01
2.18870e-02	-6.99731e+01
2.19237e-02	-5.49568e+01
2.19763e-02	-8.69521e+01
2.19770e-02	-8.68976e+01
2.20750e-02	-4.82980e+01
2.20753e-02	-4.83650e+01
2.21429e-02	-2.30242e+01
2.21547e-02	-1.90039e+01
2.21993e-02	-4.84623e+01
2.22000e-02	-4.84462e+01
2.22457e-02	-3.30348e+01
2.22873e-02	-6.14031e+01
2.22880e-02	-6.13998e+01
2.23900e-02	-2.88029e+01
2.23903e-02	-2.89714e+01
2.24531e-02	-1.00268e+01
2.24787e-02	-2.99776e+00
2.25113e-02	-2.70110e+01
2.25120e-02	-2.70464e+01
2.25687e-02	-1.21762e+01
2.25973e-02	-3.38725e+01
2.25980e-02	-3.39218e+01
2.26900e-02	-1.14901e+01
2.26903e-02	-1.16027e+01
2.27469e-02	1.21980e+00
2.28037e-02	1.29035e+01
2.28243e-02	-3.92033e+00
2.28250e-02	-4.00949e+00
2.28917e-02	8.33165e+00
2.28920e-02	7.92904e+00
2.29083e-02	-5.66625e+00
2.29090e-02	-5.77067e+00
2.29908e-02	7.77704e+00
2.30676e-02	1.88953e+01
2.31277e-02	2.63710e+01
2.31353e-02	1.95064e+01
2.31360e-02	1.93633e+01
2.32140e-02	2.77940e+01
2.32190e-02	2.43079e+01
2.32191e-02	2.35097e+01
2.32200e-02	2.31486e+01
2.32964e-02	2.98149e+01
2.33859e-02	3.56427e+01
2.34473e-02	3.83609e+01
2.34480e-02	3.88694e+01
2.34517e-02	4.26216e+01
2.35303e-02	4.47649e+01
2.35310e-02	4.51741e+01
2.35387e-02	5.29793e+01
2.36208e-02	5.32631e+01
2.37009e-02	5.18961e+01
2.37583e-02	4.99166e+01
2.37590e-02	5.03709e+01
2.37757e-02	6.64323e+01
2.38423e-02	6.29107e+01
2.38430e-02	6.33220e+01
2.38637e-02	8.28041e+01
2.39463e-02	7.62628e+01
2.40417e-02	6.64777e+01
2.40683e-02	6.32869e+01
2.40690e-02	6.37003e+01
2.40987e-02	8.99839e+01
2.41543e-02	8.25607e+01
2.41550e-02	8.29446e+01
2.41877e-02	1.11142e+02
2.42760e-02	9.67639e+01
2.42763e-02	9.64393e+01
2.43316e-02	8.64643e+01
2.43793e-02	7.71591e+01
2.43800e-02	7.75031e+01
2.44207e-02	1.10311e+02
2.44677e-02	1.00318e+02
2.45127e-02	1.35635e+02
2.45130e-02	1.35453e+02
2.45910e-02	1.16510e+02
2.45913e-02	1.16200e+02
2.46890e-02	9.05121e+01
2.46891e-02	9.01992e+01
2.46900e-02	9.04152e+01
2.47427e-02	1.28924e+02
2.47430e-02	1.28732e+02
2.47803e-02	1.17968e+02
2.47810e-02	1.18244e+02
2.48377e-02	1.58357e+02
2.48380e-02	1.58128e+02
2.49050e-02	1.36615e+02
2.49060e-02	1.36126e+02
2.49810e-02	1.10722e+02
2.49999e-02	1.04140e+02
2.50647e-02	1.46755e+02
2.50650e-02	1.46497e+02
2.50943e-02	1.35862e+02
2.50950e-02	1.36087e+02
2.51620e-02	1.78652e+02
2.52190e-02	1.67143e+02
2.52191e-02	1.56353e+02
2.53100e-02	1.18748e+02
2.53103e-02	1.18493e+02
2.53110e-02	1.18710e+02
2.53847e-02	1.61727e+02
2.53850e-02	1.61480e+02
2.54083e-02	1.51364e+02
2.54090e-02	1.51539e+02
2.54870e-02	1.95539e+02
2.55320e-02	1.81714e+02
2.55321e-02	1.74773e+02
2.56203e-02	1.32220e+02
2.56210e-02	1.32264e+02
2.57047e-02	1.75536e+02
2.57050e-02	1.75240e+02
2.57233e-02	1.66074e+02
2.57240e-02	1.66203e+02
2.57994e-02	2.03793e+02
2.58127e-02	2.09989e+02
2.59010e-02	1.62280e+02
2.59013e-02	1.61907e+02
2.59313e-02	1.45454e+02
2.59320e-02	1.45550e+02
2.60247e-02	1.87609e+02
2.60250e-02	1.87304e+02
2.60393e-02	1.79255e+02
2.60400e-02	1.79340e+02
2.61218e-02	2.15086e+02
2.61367e-02	2.21102e+02
2.62410e-02	1.58288e+02
2.62413e-02	1.57923e+02
2.62420e-02	1.58035e+02
2.63427e-02	1.97961e+02
2.63430e-02	1.97643e+02
2.63553e-02	1.90027e+02
2.63560e-02	1.90073e+02
2.64460e-02	2.24329e+02
2.64617e-02	2.29803e+02
2.65523e-02	1.70315e+02
2.65530e-02	1.70281e+02
2.66607e-02	2.07445e+02
2.66610e-02	2.07095e+02
2.66723e-02	1.99519e+02
2.66730e-02	1.99529e+02
2.67647e-02	2.29817e+02
2.67857e-02	2.36208e+02
2.68643e-02	1.80807e+02
2.68650e-02	1.80792e+02
2.69777e-02	2.14482e+02
2.69780e-02	2.14134e+02
2.69903e-02	2.05331e+02
2.69910e-02	2.05309e+02
2.70910e-02	2.33929e+02
2.70913e-02	2.33839e+02
2.71087e-02	2.38509e+02
2.71753e-02	1.88906e+02
2.71760e-02	1.88866e+02
2.72947e-02	2.19862e+02
2.72950e-02	2.19507e+02
2.73093e-02	2.08740e+02
2.73100e-02	2.08693e+02
2.74150e-02	2.34983e+02
2.74317e-02	2.38748e+02
2.74883e-02	1.94798e+02
2.74890e-02	1.94737e+02
2.76097e-02	2.22649e+02
2.76125e-02	2.20317e+02
2.76283e-02	2.07995e+02
2.76290e-02	2.07928e+02
2.77481e-02	2.34524e+02
2.77547e-02	2.35697e+02
2.78008e-02	1.98924e+02
2.79247e-02	2.25047e+02
2.79250e-02	2.24683e+02
2.79483e-02	2.05989e+02
2.79490e-02	2.05909e+02
2.80767e-02	2.31948e+02
2.80770e-02	2.31552e+02
2.81133e-02	2.02092e+02
2.81140e-02	2.02005e+02
2.82397e-02	2.26715e+02
2.82693e-02	2.02472e+02
2.82700e-02	2.02383e+02
2.83977e-02	2.27003e+02
2.84273e-02	2.02655e+02
2.84280e-02	2.02564e+02
2.85527e-02	2.26190e+02
2.85903e-02	1.95205e+02
2.85910e-02	1.95112e+02
2.87187e-02	2.19363e+02
2.87413e-02	2.00778e+02
2.87420e-02	2.00687e+02
2.88667e-02	2.24437e+02
2.89123e-02	1.86957e+02
2.89130e-02	1.86867e+02
2.90387e-02	2.11340e+02
2.90563e-02	1.96981e+02
2.90570e-02	1.96895e+02
2.91787e-02	2.21022e+02
2.92343e-02	1.75829e+02
2.92350e-02	1.75746e+02
2.93439e-02	1.98250e+02
2.93577e-02	2.01151e+02
2.93723e-02	1.89443e+02
2.93730e-02	1.89367e+02
2.94907e-02	2.14553e+02
2.95583e-02	1.60782e+02
2.95590e-02	1.60748e+02
2.96169e-02	1.73814e+02
2.96767e-02	1.87675e+02
2.96883e-02	1.78642e+02
2.96890e-02	1.78583e+02
2.98027e-02	2.05784e+02
2.98813e-02	1.45385e+02
2.98820e-02	1.45411e+02
2.99627e-02	1.66171e+02
2.99937e-02	1.74374e+02
3.00063e-02	1.64973e+02
3.00070e-02	1.64937e+02
3.01137e-02	1.94020e+02
3.01971e-02	1.32829e+02
3.02053e-02	1.27017e+02
3.02060e-02	1.26991e+02
3.02469e-02	1.39032e+02
3.03117e-02	1.58621e+02
3.03233e-02	1.50441e+02
3.03240e-02	1.50435e+02
3.04247e-02	1.82095e+02
3.04994e-02	1.30387e+02
3.05293e-02	1.10135e+02
3.05300e-02	1.10144e+02
3.05993e-02	1.33903e+02
3.06277e-02	1.43866e+02
3.06423e-02	1.34266e+02
3.06430e-02	1.34292e+02
3.07357e-02	1.67812e+02
3.07660e-02	1.48206e+02
3.08424e-02	9.94549e+01
3.08543e-02	9.20883e+01
3.08550e-02	9.21324e+01
3.09042e-02	1.11537e+02
3.09437e-02	1.27339e+02
3.09613e-02	1.16698e+02
3.09620e-02	1.16761e+02
3.10457e-02	1.51443e+02
3.10880e-02	1.26386e+02
3.11597e-02	8.45936e+01
3.11793e-02	7.35356e+01
3.11800e-02	7.36213e+01
3.12469e-02	1.03942e+02
3.12587e-02	1.09373e+02
3.12813e-02	9.70309e+01
3.12820e-02	9.71350e+01
3.13567e-02	1.32463e+02
3.14100e-02	1.04098e+02
3.14720e-02	7.17769e+01
3.15043e-02	5.54435e+01
3.15050e-02	5.55750e+01
3.15727e-02	9.05611e+01
3.16023e-02	7.62752e+01
3.16030e-02	7.64242e+01
3.16670e-02	1.10742e+02
3.17030e-02	9.37442e+01
3.17804e-02	5.83116e+01
3.18293e-02	3.68278e+01
3.18300e-02	3.70220e+01
3.18867e-02	7.01685e+01
3.19233e-02	5.49935e+01
3.19240e-02	5.52179e+01
3.19767e-02	8.70890e+01
3.20520e-02	5.72078e+01
3.21206e-02	3.12631e+01
