time	V(c,n)
1.07360e-02	1.67519e+02
1.08220e-02	1.12373e+02
1.08543e-02	9.20825e+01
1.08550e-02	9.21178e+01
1.09043e-02	1.11567e+02
1.09433e-02	1.27246e+02
1.09440e-02	1.27059e+02
1.09613e-02	1.16694e+02
1.09620e-02	1.16747e+02
1.10453e-02	1.51346e+02
1.10460e-02	1.51167e+02
1.10880e-02	1.26370e+02
1.11469e-02	9.20462e+01
1.11793e-02	7.35353e+01
1.11800e-02	7.36114e+01
1.12357e-02	9.88640e+01
1.12583e-02	1.09263e+02
1.12590e-02	1.09116e+02
1.12813e-02	9.70343e+01
1.12820e-02	9.71277e+01
1.13563e-02	1.32351e+02
1.13570e-02	1.32214e+02
1.14100e-02	1.04105e+02
1.14640e-02	7.59391e+01
1.15043e-02	5.54540e+01
1.15050e-02	5.55749e+01
1.15624e-02	8.52876e+01
1.15723e-02	9.04382e+01
1.15730e-02	9.03346e+01
1.16023e-02	7.62891e+01
1.16030e-02	7.64272e+01
1.16666e-02	1.10607e+02
1.16670e-02	1.10607e+02
1.17310e-02	8.08479e+01
1.17610e-02	6.71287e+01
1.18019e-02	4.88564e+01
1.18293e-02	3.68578e+01
1.18300e-02	3.70275e+01
1.18863e-02	7.00269e+01
1.18870e-02	6.99704e+01
1.19233e-02	5.50361e+01
1.19240e-02	5.52227e+01
1.19763e-02	8.69413e+01
1.19770e-02	8.68966e+01
1.20520e-02	5.73126e+01
1.20983e-02	3.96372e+01
1.21541e-02	1.90983e+01
1.21550e-02	1.92823e+01
1.21993e-02	4.84541e+01
1.22000e-02	4.84474e+01
1.22453e-02	3.30887e+01
1.22460e-02	3.33270e+01
1.22873e-02	6.13949e+01
1.22880e-02	6.14014e+01
1.23591e-02	3.86026e+01
1.24034e-02	2.49087e+01
1.24531e-02	1.01977e+01
1.24783e-02	3.02711e+00
1.24790e-02	3.30310e+00
1.25113e-02	2.70021e+01
1.25120e-02	2.70473e+01
1.25683e-02	1.21989e+01
1.25690e-02	1.24911e+01
1.25973e-02	3.38628e+01
1.25980e-02	3.39220e+01
1.26637e-02	1.78590e+01
1.27118e-02	6.62139e+00
1.27469e-02	-1.10031e+00
1.28033e-02	-1.29016e+01
1.28040e-02	-1.25692e+01
1.28243e-02	3.90807e+00
1.28250e-02	4.00713e+00
1.28816e-02	-6.55930e+00
1.28913e-02	-8.27385e+00
1.28920e-02	-7.92558e+00
1.29083e-02	5.65340e+00
1.29090e-02	5.76709e+00
1.29499e-02	-1.08713e+00
